english,klingon,example,verb
hello,nuqneH,nuqneH 'oH Qap?,no
play,DaH,qaStaHvIS DaH muSHa'ghach.,yes
sing,laD,pIqaDlaD jImej.,yes
goodbye,qapla',qapla' batlh je,no
thank you,qatlho',qatlho' vItlhutlh,no
cat,Hab,lo' Hab,lr
dog,HIq,HIq vIghro',lr
eat,ghab,ghab'a' vItlhutlh,yes
drink,ghItlh,ghItlh vIghro',yes
run,jaq,jaq vIghro',yes
sleep,bIj,bIjatlhutlh,yes
goodbye,qapla',qapla' batlh je,no
thank you,qatlho',qatlho' vItlhutlh,no
cat,Hab,lo' Hab,lr
dog,HIq,HIq vIghro',lr
eat,ghab,ghab'a' vItlhutlh,yes
drink,ghItlh,ghItlh vIghro',yes
run,jaq,jaq vIghro',yes
sleep,bIj,bIjatlhutlh,yes
house,HIq,HIq vItlhutlh,no
book,pIqaD,pIqaD vItlhutlh,no
computer,HIq,HIq vItlhutlh,no
friend,cha'logh,cha'logh vItlhutlh,no
sword,bat'leth,bat'leth vItlhutlh,no
star,choch,choch vItlhutlh,no
red,Suq,loDnI' Suq,no
blue,Doq,loDnI' Doq,no
green,tlhIngan,loDnI' tlhIngan,no
sky,tera',tera' vItlhutlh,no
fire,HIq,HIq vItlhutlh,no
water,wab,wab vItlhutlh,no
mountain,qaS,qapla' batlh je,no
sun,wIw,nuqneH 'oH Qap?,no
moon,maq,nuqneH 'oH Qap?,no